keys,fr,en
MENU_SUBTITLE,"Un jeu de cartes stratégique","A strategic card game"
MENU_PLAY,"Jouer","Play"
MENU_DECKS,"Mes Decks","My Decks"
MENU_PACKS,"Packs","Packs"
MENU_CURRENCY,"%d or","%d gold"
MENU_NEWS_TITLE,"Actualités","News"
MENU_DISCORD_TOOLTIP,"Rejoindre notre serveur Discord","Join our Discord server"
MENU_WEBSITE_TOOLTIP,"Visiter notre site web","Visit our website"
MENU_NEWS_READ_MORE,"… voir les détails","… see details"
MENU_OFFLINE_BANNER,"Connexion au serveur impossible : mode hors ligne, ta progression ne sera pas sauvegardée pour le moment.","Could not connect to the server: offline mode, your progress won't be saved for now."
MENU_MATCH_STATS,"%dV - %dD","%dW - %dL"
MENU_PLAY_CHOOSE_MODE,"Choisis ton mode de jeu","Choose your game mode"
MENU_PLAY_SOLO,"Solo","Solo"
MENU_PLAY_MULTI,"Multijoueur","Multiplayer"
MENU_PLAY_CHOOSE_DECK,"Choisis ton deck","Choose your deck"
MENU_PLAY_LAUNCH,"Lancer la partie","Start match"
MENU_DECK_COMPOSITION_TITLE,"Composition du deck","Deck composition"
MENU_DECK_COMPOSITION_EMPTY,"Sélectionne un deck pour voir sa composition.","Select a deck to see its composition."
MENU_EDIT_DECK_LINK,"Modifier le deck","Edit deck"
MENU_SHOP_TITLE,"Boutique","Shop"
MENU_SHOP_PLACEHOLDER,"D'autres objets arriveront bientôt dans la boutique. Pour l'instant, tu peux ouvrir des packs de cartes.","More items are coming soon to the shop. For now, you can open card packs."
MENU_SHOP_OPEN_BUTTON,"Ouvrir la boutique de packs","Open the pack shop"
MENU_QUESTS,"Quêtes","Quests"
QUESTS_TITLE,"Quêtes quotidiennes","Daily quests"
QUESTS_UNAVAILABLE,"Quêtes indisponibles (connexion au serveur requise).","Quests unavailable (server connection required)."
QUESTS_PROGRESS,"%d / %d — Récompense : %d or","%d / %d — Reward: %d gold"
QUESTS_CLAIM,"Réclamer","Claim"
QUESTS_CLAIMED,"Réclamé","Claimed"
QUESTS_IN_PROGRESS,"En cours","In progress"
QUEST_PLAY_3,"Jouez 3 parties","Play 3 matches"
QUEST_PLAY_5,"Jouez 5 parties","Play 5 matches"
QUEST_WIN_2,"Gagnez 2 parties","Win 2 matches"
QUEST_WIN_3,"Gagnez 3 parties","Win 3 matches"
QUEST_WIN_RANKED_1,"Gagnez 1 partie classée","Win 1 ranked match"
QUEST_PLAY_RACE_HUMAN_10,"Jouez 10 cartes Humain","Play 10 Human cards"
QUEST_PLAY_RACE_UNDEAD_10,"Jouez 10 cartes Mort-Vivant","Play 10 Undead cards"
QUEST_PLAY_RACE_DEMON_10,"Jouez 10 cartes Démon","Play 10 Demon cards"
QUEST_PLAY_RACE_ABOMINATION_10,"Jouez 10 cartes Abomination","Play 10 Abomination cards"
QUEST_WIN_RACE_HUMAN_2,"Gagnez 2 parties avec un deck Humain","Win 2 matches with a Human deck"
QUEST_WIN_RACE_UNDEAD_2,"Gagnez 2 parties avec un deck Mort-Vivant","Win 2 matches with an Undead deck"
QUEST_WIN_RACE_DEMON_2,"Gagnez 2 parties avec un deck Démon","Win 2 matches with a Demon deck"
QUEST_WIN_RACE_ABOMINATION_2,"Gagnez 2 parties avec un deck Abomination","Win 2 matches with an Abomination deck"
QUESTS_WEEKLY_TITLE,"Quêtes hebdomadaires","Weekly quests"
QUESTS_WEEKLY_PROGRESS,"%d / %d — Récompense : %d pack(s)","%d / %d — Reward: %d pack(s)"
QUEST_WEEKLY_WIN_NETWORK_10,"Gagnez 10 parties contre des joueurs","Win 10 matches against players"
QUEST_WEEKLY_PLAY_RACE_HUMAN_15,"Jouez 15 parties avec un deck Humain","Play 15 matches with a Human deck"
QUEST_WEEKLY_PLAY_RACE_UNDEAD_15,"Jouez 15 parties avec un deck Mort-Vivant","Play 15 matches with an Undead deck"
QUEST_WEEKLY_PLAY_RACE_DEMON_15,"Jouez 15 parties avec un deck Démon","Play 15 matches with a Demon deck"
QUEST_WEEKLY_PLAY_RACE_ABOMINATION_15,"Jouez 15 parties avec un deck Abomination","Play 15 matches with an Abomination deck"
QUEST_WEEKLY_PLAY_30,"Jouez 30 parties","Play 30 matches"
QUEST_WEEKLY_PLAY_MULTIRACE_10,"Jouez 10 parties avec un deck contenant au moins 2 races","Play 10 matches with a deck containing at least 2 races"
QUESTS_UNIQUE_TITLE,"Quêtes uniques","Unique quests"
QUESTS_UNIQUE_PROGRESS,"%d / %d — Récompense : %d or, %d pack(s)","%d / %d — Reward: %d gold, %d pack(s)"
QUEST_UNIQUE_FIRST_HUMAN,"Jouez votre première partie avec un deck contenant des cartes Humain","Play your first match with a deck containing Human cards"
QUEST_UNIQUE_FIRST_UNDEAD,"Jouez votre première partie avec un deck contenant des cartes Mort-Vivant","Play your first match with a deck containing Undead cards"
QUEST_UNIQUE_FIRST_DEMON,"Jouez votre première partie avec un deck contenant des cartes Démon","Play your first match with a deck containing Demon cards"
QUEST_UNIQUE_FIRST_ABOMINATION,"Jouez votre première partie avec un deck contenant des cartes Abomination","Play your first match with a deck containing Abomination cards"
QUEST_UNIQUE_FIRST_MULTIRACE,"Remportez votre première victoire avec un deck contenant au moins 2 races différentes","Win your first match with a deck containing at least 2 different races"
QUEST_UNIQUE_WIN_ALL_RACES,"Remportez au moins une victoire avec chacune des 4 races","Win at least one match with each of the 4 races"
QUEST_UNIQUE_PLAY_50,"Jouez 50 parties","Play 50 matches"
QUEST_UNIQUE_PLAY_200,"Jouez 200 parties","Play 200 matches"
QUEST_UNIQUE_WIN_25,"Gagnez 25 parties","Win 25 matches"
QUEST_UNIQUE_WIN_100,"Gagnez 100 parties","Win 100 matches"
QUEST_UNIQUE_WIN_RANKED_10,"Gagnez 10 parties classées","Win 10 ranked matches"
QUEST_UNIQUE_WIN_RANKED_50,"Gagnez 50 parties classées","Win 50 ranked matches"
QUEST_UNIQUE_REACH_GOLD,"Atteignez le palier Or en classé","Reach the Gold rank tier"
QUEST_UNIQUE_REACH_LEGEND,"Atteignez le palier Légende en classé","Reach the Legend rank tier"
QUEST_UNIQUE_OPEN_PACKS_20,"Ouvrez 20 packs","Open 20 packs"
REFERRAL_TITLE,"Parrainage","Referral"
REFERRAL_UNAVAILABLE,"Parrainage indisponible (connexion au serveur requise).","Referral unavailable (server connection required)."
REFERRAL_COPY_LINK,"Copier le lien d'invitation","Copy invite link"
REFERRAL_LINK_COPIED,"Copié !","Copied!"
REFERRAL_REDEEM_PLACEHOLDER,"Code de parrainage","Referral code"
REFERRAL_REDEEM_BUTTON,"Valider le code","Redeem code"
REFERRAL_REDEEM_DONE,"Code validé","Code redeemed"
REFERRAL_STATUS_NONE,"Ton code : %s — invite un ami, gagne 3 packs + 500 or quand il termine le tutoriel.","Your code: %s — invite a friend, earn 3 packs + 500 gold once they finish the tutorial."
REFERRAL_STATUS_PENDING,"%s a rejoint grâce à toi — récompense créditée une fois son tutoriel terminé.","%s joined thanks to you — reward credited once they finish the tutorial."
REFERRAL_STATUS_COMPLETED,"%s a terminé le tutoriel — récompense créditée !","%s finished the tutorial — reward credited!"
REFERRAL_INVALID_CODE,"Code de parrainage invalide.","Invalid referral code."
REFERRAL_SELF,"Tu ne peux pas utiliser ton propre code.","You can't use your own code."
REFERRAL_ALREADY_REFERRED,"Ton compte a déjà été parrainé.","Your account has already been referred."
REFERRAL_CODE_USED,"Ce code a déjà été utilisé par un autre joueur.","This code has already been used by another player."
REFERRAL_FIRST_LAUNCH_TITLE,"Un ami t'a invité ?","Were you invited by a friend?"
REFERRAL_FIRST_LAUNCH_DESC,"Entre son code de parrainage : il gagnera 3 packs et 500 or.","Enter their referral code: they'll earn 3 packs and 500 gold."
REFERRAL_SKIP_BUTTON,"Passer","Skip"
LOGIN_REWARD_TITLE,"Récompense de connexion","Login reward"
LOGIN_REWARD_STREAK,"Jour %d de ta série","Day %d of your streak"
LOGIN_REWARD_AMOUNT,"+%d or","+%d gold"
LOGIN_REWARD_CLAIM,"Réclamer","Claim"
LOGIN_REWARD_CLAIMED,"Réclamé !","Claimed!"
PROFILE_TITLE,"Profil","Profile"
PROFILE_LOADING,"Chargement...","Loading..."
PROFILE_UNAVAILABLE,"—","—"
PROFILE_MEMBER_SINCE,"Membre depuis le %s","Member since %s"
PROFILE_COLLECTION_COUNT,"%d cartes en collection","%d cards in collection"
PROFILE_SOLO_STATS,"Solo : %dV - %dD","Solo: %dW - %dL"
PROFILE_RANKED_STATS,"Classé : %dV - %dD (MMR %d, Rang #%d)","Ranked: %dW - %dL (MMR %d, Rank #%d)"
RANK_TIER_BRONZE,"Bronze","Bronze"
RANK_TIER_SILVER,"Argent","Silver"
RANK_TIER_GOLD,"Or","Gold"
RANK_TIER_LEGEND,"Légende","Legend"
RANK_BADGE_FORMAT,"%s %s · %d MMR","%s %s · %d MMR"
RANK_BADGE_PROGRESS,"Plus que %d MMR avant %s","%d MMR to %s"
RANK_BADGE_MAX_TIER,"Palier maximal atteint","Highest tier reached"
"Bienvenue sur Wyrdane","Bienvenue sur Wyrdane","Welcome to Wyrdane"
"Le jeu évolue en permanence : nouvelles cartes, équilibrages et fonctionnalités arrivent régulièrement. Suis cet espace pour ne rien manquer !","Le jeu évolue en permanence : nouvelles cartes, équilibrages et fonctionnalités arrivent régulièrement. Suis cet espace pour ne rien manquer !","The game keeps evolving: new cards, balance changes and features arrive regularly. Keep an eye on this space so you don't miss anything!"
"Nouvelle race : Abomination","Nouvelle race : Abomination","New race: Abomination"
"La quatrième race rejoint le jeu avec ses mots-clés MUTATION, FUSION et VIRULENT. Découvre-la dans le deck builder !","La quatrième race rejoint le jeu avec ses mots-clés MUTATION, FUSION et VIRULENT. Découvre-la dans le deck builder !","The fourth race joins the game with its MUTATION, FUSION and VIRULENT keywords. Check it out in the deck builder!"
pack_shop.title,"Packs","Packs"
pack_shop.balance,"Solde : %d","Balance: %d"
pack_shop.open_button,"Ouvrir un pack (%d)","Open a pack (%d)"
pack_shop.open_x1,"x1 (%d)","x1 (%d)"
pack_shop.open_x3,"x3 (%d)","x3 (%d)"
pack_shop.open_x5,"x5 (%d)","x5 (%d)"
pack_shop.close,"Fermer","Close"
pack_shop.error,"Solde insuffisant ou erreur réseau.","Insufficient balance or network error."
pack_shop.dust_format,"Doublon : +%d or","Duplicate: +%d gold"
pack_shop.open_free_button,"Ouvrir un pack gratuit (test)","Open a free pack (test)"
pack_shop.open_owned,"Ouvrir un pack gratuit (x%d)","Open a free pack (x%d)"
pack_shop.progress,"%d / %d cartes obtenues","%d / %d cards obtained"
pack_shop.odds_button,"?","?"
pack_shop.odds_title,"Probabilités par rareté","Odds by rarity"
pack_shop.skip_hint,"Cliquer pour tout révéler","Click to reveal all"
rarity.common,"Commune","Common"
rarity.rare,"Rare","Rare"
rarity.epic,"Épique","Epic"
rarity.legendary,"Légendaire","Legendary"
MENU_MULTIPLAYER,"Multijoueur","Multiplayer"
NET_BACK,"Retour","Back"
NET_STEAM_HOST,"Héberger","Host"
NET_STEAM_QUICK,"Partie rapide","Quick match"
NET_STEAM_RANKED,"Partie classée","Ranked match"
NET_RANKED_QUEUEING,"Recherche d'un adversaire de niveau similaire…","Searching for a similarly ranked opponent…"
NET_RANKED_MATCHED,"Adversaire trouvé — connexion…","Opponent found — connecting…"
NET_RANKED_CANCEL,"Annuler la recherche","Cancel search"
NET_RANKED_CANCELLED,"Recherche classée annulée.","Ranked search cancelled."
NET_RANKED_TIMEOUT,"Aucun adversaire trouvé pour le moment, réessaie plus tard.","No opponent found for now, try again later."
NET_RANKED_UNAVAILABLE,"Partie classée indisponible (connexion au serveur requise).","Ranked match unavailable (server connection required)."
NET_STEAM_HOSTING,"Création du lobby Steam, en attente d'un adversaire…","Creating Steam lobby, waiting for an opponent…"
NET_STEAM_SEARCHING,"Recherche d'une partie Steam…","Searching for a Steam match…"
NET_STEAM_UNAVAILABLE,"Steam indisponible (extension absente ou client fermé)","Steam unavailable (missing extension or client not running)"
NET_STEAM_SAME_ACCOUNT,"✗ Impossible : les deux instances utilisent le même compte Steam. Le mode Steam exige deux comptes distincts.","✗ Not possible: both instances use the same Steam account. Steam mode requires two distinct accounts."
NET_STEAM_NO_LOBBY,"✗ Aucune partie Steam trouvée","✗ No Steam match found"
NET_STEAM_NO_LOBBY_HOSTING,"Aucune partie trouvée, création d'un lobby à la place…","No match found, hosting a lobby instead…"
NET_STEAM_INVITE,"Inviter un ami","Invite a friend"
NET_STEAM_INVITE_RECEIVED,"Invitation Steam acceptée, connexion au lobby de l'ami…","Steam invite accepted, connecting to friend's lobby…"
NET_LOBBY_SUBTITLE,"Affrontez un adversaire en ligne","Face an opponent online"
NET_STATUS_TITLE,"Connexion","Connection"
NET_WAITING_OPPONENT,"En attente que l'adversaire soit prêt…","Waiting for opponent to be ready…"
NET_LOADING_IDLE,"Choisissez un mode de jeu pour commencer.","Choose a game mode to begin."
NET_LOADING_PREPARING,"Adversaire trouvé — préparation de la partie…","Opponent found — preparing the match…"
NET_STEAM_DISCONNECTED,"✗ La connexion avec l'adversaire a été interrompue.","✗ Connection to the opponent was lost."
MENU_SETTINGS,"Paramètres","Settings"
MENU_REPORT,"Signalement","Report"
MENU_CREDITS,"Crédits","Credits"
MENU_QUIT,"Quitter","Quit"
MENU_CLOSE,"Fermer","Close"
REPORT_TITLE,"Signaler un problème","Report an issue"
REPORT_SUBMIT,"Envoyer","Send"
REPORT_CATEGORY_LABEL,"Catégorie :","Category:"
REPORT_CATEGORY_BUG,"Bug","Bug"
REPORT_CATEGORY_CHEATING,"Triche","Cheating"
REPORT_DESCRIPTION_LABEL,"Description :","Description:"
REPORT_DESCRIPTION_PLACEHOLDER,"Décrivez le problème le plus précisément possible…","Describe the issue as precisely as possible…"
REPORT_EMPTY_ERROR,"Veuillez décrire le problème avant d'envoyer.","Please describe the issue before sending."
REPORT_SUCCESS_TEXT,"Signalement envoyé, merci !","Report sent, thank you!"
REPORT_ERROR_TEXT,"Échec de l'envoi du signalement. Réessayez plus tard.","Failed to send the report. Please try again later."
MENU_CREDITS_BODY,"Crédits\n\nDéveloppé par Nico\nMusique : The Tavern at Oakhaven\n\nMerci d'avoir joué !","Credits\n\nDeveloped by Nico\nMusic: The Tavern at Oakhaven\n\nThanks for playing!"
MENU_LEGAL,"Mentions légales","Legal notice"
MENU_LEGAL_BODY,"Éditeur : Amnertaris\nContact : wyrdane@outlook.fr\n\nPropriété intellectuelle : Wyrdane, son code, ses illustrations, ses textes et l'ensemble de ses éléments sont la propriété exclusive de l'éditeur. Toute reproduction ou distribution non autorisée est interdite.\n\nDonnées personnelles : la connexion au jeu utilise l'authentification Steam. Votre identifiant Steam, votre pseudonyme et votre progression (collection de cartes, monnaie, decks, historique de parties) sont stockés sur un serveur distant afin de sauvegarder votre progression et de permettre le jeu en ligne. Ces données ne sont jamais revendues ni partagées avec des tiers à des fins commerciales. Vous pouvez demander la consultation ou la suppression de vos données en contactant l'éditeur à l'adresse ci-dessus.\n\nServices tiers : le jeu s'appuie sur Steamworks (Valve Corporation) pour l'authentification et le multijoueur, ainsi que sur un hébergeur tiers pour la sauvegarde de votre progression. L'utilisation de ces services est soumise à leurs propres conditions.\n\nAvertissement : Wyrdane est en développement actif (accès anticipé). Le jeu est fourni « en l'état », sans garantie d'aucune sorte.","Publisher: Amnertaris\nContact: wyrdane@outlook.fr\n\nIntellectual property: Wyrdane, its code, artwork, text and all its elements are the exclusive property of the publisher. Any unauthorized reproduction or distribution is prohibited.\n\nPersonal data: signing in uses Steam authentication. Your Steam ID, display name and progress (card collection, currency, decks, match history) are stored on a remote server to save your progress and enable online play. This data is never sold or shared with third parties for commercial purposes. You can request access to or deletion of your data by contacting the publisher at the address above.\n\nThird-party services: the game relies on Steamworks (Valve Corporation) for authentication and multiplayer, as well as a third-party host to save your progress. Use of these services is subject to their own terms.\n\nDisclaimer: Wyrdane is in active development (early access). The game is provided \"as is\", without warranty of any kind."
settings.title,"Paramètres","Settings"
settings.audio,"Audio","Audio"
settings.graphics,"Graphismes","Graphics"
settings.controls,"Contrôles","Controls"
settings.close,"Fermer","Close"
settings.concede,"Concéder","Concede"
settings.concede_confirm_message,"Voulez-vous vraiment concéder la partie ?","Are you sure you want to concede the match?"
settings.concede_confirm_cancel,"Annuler","Cancel"
settings.concede_confirm_yes,"Concéder","Concede"
graphics.title,"Graphismes","Graphics"
graphics.resolution,"Résolution","Resolution"
graphics.fullscreen,"Plein écran","Fullscreen"
graphics.vsync,"V-Sync","V-Sync"
graphics.quality,"Qualité effets","Effects quality"
graphics.highlights,"Surbrillance zones","Zone highlights"
graphics.language,"Langue","Language"
graphics.difficulty,"Difficulté IA","AI difficulty"
graphics.text_scale,"Taille de l'interface","Interface scale"
graphics.colorblind,"Assistance daltonisme","Color blindness assist"
graphics.high_contrast,"Contraste élevé","High contrast"
graphics.reduced_motion,"Réduire les animations","Reduce motion"
graphics.apply,"Appliquer","Apply"
graphics.back,"← Retour","← Back"
quality.low,"Basse","Low"
quality.medium,"Moyenne","Medium"
quality.high,"Haute","High"
difficulty.easy,"Facile","Easy"
difficulty.normal,"Normal","Normal"
difficulty.hard,"Difficile","Hard"
colorblind.none,"Aucune","None"
colorblind.protanopia,"Protanopie","Protanopia"
colorblind.deuteranopia,"Deutéranopie","Deuteranopia"
colorblind.tritanopia,"Tritanopie","Tritanopia"
audio.title,"Audio","Audio"
audio.master,"Général","Master"
audio.music,"Musique","Music"
audio.sfx,"Effets","Effects"
audio.back,"← Retour","← Back"
controls.title,"Contrôles","Controls"
controls.hint,"Clique sur une touche pour la modifier","Click a key to rebind it"
controls.end_turn,"Fin de tour","End turn"
controls.toggle_graveyard,"Cimetière allié","Your graveyard"
controls.toggle_enemy_graveyard,"Cimetière ennemi","Enemy graveyard"
controls.conflict,"Touche déjà utilisée par : %s","Key already used by: %s"
controls.reset,"Réinitialiser","Reset"
controls.back,"← Retour","← Back"
controls.listening,"...","..."
turn.start,"— DÉBUT DU TOUR —","— TURN START —"
turn.choose,"Choisissez votre bonus","Choose your bonus"
turn.draw_title,"Pioche","Draw"
turn.draw_desc,"Piochez une carte\nsupplémentaire de votre deck.","Draw an extra card\nfrom your deck."
turn.mana_title,"Cristal de mana","Mana crystal"
turn.mana_desc,"Gagnez définitivement\n+1 cristal de mana maximum.","Permanently gain\n+1 maximum mana crystal."
turn.hint,"Un seul choix par tour, choisissez avec sagesse.","One choice per turn, choose wisely."
turn.peek,"Voir ma main","View my hand"
mulligan.banner,"Choisissez votre main","Choose your hand"
mulligan.hint,"Vous pouvez changer jusqu'à %d cartes","You may change up to %d cards"
